;all_edges_num;all_nodes_num;lost_edges;lost_edges_freq;lost_nodes;lost_nodes_freq;matched_edge_types;matched_edge_types_freq;matched_edges;matched_nodes;recognized_edges_freq;recognized_nodes_freq;wrong_edge_types;wrong_edge_types_freq
0;1.0;2.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;2.0;1.0;1.0;0.0;0.0
1;10.0;11.0;2.0;0.2;0.0;0.0;8.0;1.0;8.0;11.0;0.8;1.0;0.0;0.0
2;7.0;8.0;1.0;0.14285714285714285;0.0;0.0;6.0;1.0;6.0;8.0;0.8571428571428571;1.0;0.0;0.0
3;7.0;8.0;0.0;0.0;0.0;0.0;7.0;1.0;7.0;8.0;1.0;1.0;0.0;0.0
4;6.0;7.0;1.0;0.16666666666666666;0.0;0.0;5.0;1.0;5.0;7.0;0.8333333333333334;1.0;0.0;0.0
5;6.0;7.0;0.0;0.0;0.0;0.0;6.0;1.0;6.0;7.0;1.0;1.0;0.0;0.0
6;8.0;9.0;0.0;0.0;0.0;0.0;8.0;1.0;8.0;9.0;1.0;1.0;0.0;0.0
7;1.0;2.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;2.0;1.0;1.0;0.0;0.0
8;9.0;10.0;1.0;0.1111111111111111;0.0;0.0;8.0;1.0;8.0;10.0;0.8888888888888888;1.0;0.0;0.0
9;8.0;10.0;1.0;0.125;0.0;0.1;4.0;0.5714285714285714;7.0;9.0;0.875;0.9;3.0;0.42857142857142855
10;7.0;8.0;0.0;0.0;0.0;0.0;7.0;1.0;7.0;8.0;1.0;1.0;0.0;0.0
11;1.0;2.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;2.0;1.0;1.0;0.0;0.0
12;8.0;10.0;1.0;0.125;0.0;0.1;6.0;0.8571428571428571;7.0;9.0;0.875;0.9;1.0;0.14285714285714285
13;6.0;7.0;0.0;0.0;0.0;0.0;6.0;1.0;6.0;7.0;1.0;1.0;0.0;0.0
14;2.0;3.0;0.0;0.0;0.0;0.0;2.0;1.0;2.0;3.0;1.0;1.0;0.0;0.0
15;8.0;9.0;1.0;0.125;0.0;0.0;7.0;1.0;7.0;9.0;0.875;1.0;0.0;0.0
16;10.0;11.0;2.0;0.2;0.0;0.0;7.0;0.875;8.0;11.0;0.8;1.0;1.0;0.125
17;2.0;3.0;0.0;0.0;0.0;0.0;2.0;1.0;2.0;3.0;1.0;1.0;0.0;0.0
18;12.0;12.0;0.0;0.0;0.0;0.0;12.0;1.0;12.0;12.0;1.0;1.0;0.0;0.0
19;8.0;9.0;1.0;0.125;0.0;0.0;7.0;1.0;7.0;9.0;0.875;1.0;0.0;0.0
20;4.0;5.0;0.0;0.0;0.0;0.0;4.0;1.0;4.0;5.0;1.0;1.0;0.0;0.0
21;6.0;7.0;0.0;0.0;0.0;0.0;5.0;0.8333333333333334;6.0;7.0;1.0;1.0;1.0;0.16666666666666666
22;5.0;6.0;0.0;0.0;0.0;0.0;5.0;1.0;5.0;6.0;1.0;1.0;0.0;0.0
23;7.0;8.0;0.0;0.0;0.0;0.0;7.0;1.0;7.0;8.0;1.0;1.0;0.0;0.0
24;12.0;13.0;2.0;0.16666666666666666;0.0;0.0;8.0;0.8;10.0;13.0;0.8333333333333334;1.0;2.0;0.2
25;11.0;12.0;1.0;0.09090909090909091;0.0;0.0;9.0;0.9;10.0;12.0;0.9090909090909091;1.0;1.0;0.1
26;11.0;12.0;1.0;0.09090909090909091;0.0;0.0;9.0;0.9;10.0;12.0;0.9090909090909091;1.0;1.0;0.1
27;4.0;5.0;0.0;0.0;0.0;0.0;4.0;1.0;4.0;5.0;1.0;1.0;0.0;0.0
28;9.0;9.0;1.0;0.1111111111111111;0.0;0.0;8.0;1.0;8.0;9.0;0.8888888888888888;1.0;0.0;0.0
29;7.0;8.0;0.0;0.0;0.0;0.0;7.0;1.0;7.0;8.0;1.0;1.0;0.0;0.0
30;2.0;3.0;0.0;0.0;0.0;0.0;2.0;1.0;2.0;3.0;1.0;1.0;0.0;0.0
31;12.0;13.0;3.0;0.25;0.0;0.0;7.0;0.7777777777777778;9.0;13.0;0.75;1.0;2.0;0.2222222222222222
32;7.0;8.0;0.0;0.0;0.0;0.0;7.0;1.0;7.0;8.0;1.0;1.0;0.0;0.0
33;11.0;12.0;2.0;0.18181818181818182;0.0;0.0;6.0;0.6666666666666666;9.0;12.0;0.8181818181818182;1.0;3.0;0.3333333333333333
34;7.0;8.0;0.0;0.0;0.0;0.0;7.0;1.0;7.0;8.0;1.0;1.0;0.0;0.0
35;9.0;10.0;0.0;0.0;0.0;0.0;9.0;1.0;9.0;10.0;1.0;1.0;0.0;0.0
36;5.0;6.0;0.0;0.0;0.0;0.0;5.0;1.0;5.0;6.0;1.0;1.0;0.0;0.0
37;8.0;9.0;0.0;0.0;0.0;0.0;8.0;1.0;8.0;9.0;1.0;1.0;0.0;0.0
38;3.0;4.0;0.0;0.0;0.0;0.0;3.0;1.0;3.0;4.0;1.0;1.0;0.0;0.0
39;8.0;9.0;1.0;0.125;0.0;0.0;7.0;1.0;7.0;9.0;0.875;1.0;0.0;0.0
40;8.0;9.0;0.0;0.0;0.0;0.0;7.0;0.875;8.0;9.0;1.0;1.0;1.0;0.125
41;1.0;2.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;2.0;1.0;1.0;0.0;0.0
